phrase,esco_uri,esco_label,cosine_sim,matched
00 responsibilities,,,0.4813,False
00 րդ,,,0.4663,False
000 amd net,,,0.4101,False
000 assets scaling,,,0.5767,False
000 customers,,,0.6298,False
000 mxn credit,,,0.5051,False
10 years,,,0.327,False
100 advanced technologies,,,0.5678,False
100 million userslaunch,,,0.3545,False
1001 website https,,,0.3627,False
100m users,,,0.4461,False
10am 7pm fundraise,,,0.4738,False
10dlc text messaging,,,0.5268,False
10xtalent com jobs,,,0.4653,False
11 active directory,,,0.4485,False
11 est requirements,,,0.4788,False
122 department executive,,,0.5162,False
12go company,,,0.5074,False
12go travelier,,,0.4421,False
140 pln,,,0.4206,False
1400 passionate individuals,,,0.389,False
15 collaborating partners,,,0.6111,False
169 pharmacies nationwide,,,0.573,False
17 proficient spring,,,0.4475,False
17 spring framework,,,0.5472,False
1c erp,,,0.5027,False
1c erp համակարգի,,,0.469,False
1c erp մասնագետ,,,0.3809,False
1c լավ,,,0.4253,False
1st day,,,0.4308,False
20 hours weekly,,,0.5001,False
2014 opened office,,,0.5208,False
2016 higher expertise,,,0.6357,False
2019 founded eli,,,0.3974,False
2020 evolution armenia,,,0.5861,False
2021 data digest,,,0.4703,False
2022 requirements,,,0.4784,False
2023 buymie acquired,,,0.4487,False
2024 comments mnatsakanyan,,,0.3049,False
2024 mnatsakanyan looking,,,0.3405,False
2025 worldquant llc,,,0.3598,False
2026 application deadline,,,0.5829,False
2026 london munich,,,0.2958,False
24 technical support,,,0.5075,False
24x7 team apac,,,0.5164,False
25 gtm deal,,,0.4672,False
27001 lead auditor,,,0.5491,False
27001 nist gdpr,,,0.6121,False
2d animation principles,http://data.europa.eu/esco/skill/1c00bc98-2713-4c62-82c5-6d86f2e6a4cb,principles of animation,0.8792,True
2d artist game,,,0.6521,False
2d motion designer,,,0.6552,False
2d spine animator,,,0.5663,False
2d пакетами ai,,,0.4522,False
2nm tech nodes,,,0.4719,False
30 hours,,,0.4377,False
30 миллионов людей,,,0.4794,False
30 миллионов человек,,,0.4655,False
3015 ai,,,0.3892,False
3015 ai use,,,0.3846,False
3d artist join,,,0.5816,False
3d cad design,http://data.europa.eu/esco/skill/76415d7f-0fde-4364-b45f-5c044580d2aa,create CAD drawings,0.7607,True
3d character animator,,,0.7488,False
3d coat zbrush,,,0.535,False
3d contentknowledge manufacturing,,,0.6465,False
3d corporate,,,0.6406,False
3d environments studio,http://data.europa.eu/esco/skill/0620ecd1-e4b1-4dfa-972b-38a93e5ebd9d,create 3D environments,0.8183,True
3d environmentsattention ability,http://data.europa.eu/esco/skill/0620ecd1-e4b1-4dfa-972b-38a93e5ebd9d,create 3D environments,0.7629,True
3d modeling specialist,http://data.europa.eu/esco/skill/97965983-0da4-4902-9daf-d5cd2693ef73,3D modelling,0.7606,True
3d motion designer,,,0.6274,False
3d teamsexperience leading,,,0.6589,False
3ds max,,,0.4639,False
40 000 space,,,0.5546,False
4hana experience abap,,,0.6237,False
4x strategy,,,0.5191,False
50 forbes cloud,,,0.4573,False
50 million users,,,0.4494,False
500 phone 060434343,,,0.4432,False
5d just,,,0.4049,False
